price,quantity,created_at
425752.01,0.002,2019-03-03 14:46:11.226325
425731.31,0.1107,2019-03-03 14:46:11.226325
425730.01,0.004,2019-03-03 14:46:11.226325
425730.0,0.037,2019-03-03 14:46:11.226325
425728.0,0.90824656,2019-03-03 14:46:11.226325
425726.0,0.23,2019-03-03 14:46:11.226325
425721.01,0.05,2019-03-03 14:46:11.226325
425714.86349,0.06,2019-03-03 14:46:11.226325
425713.0,2.00000013,2019-03-03 14:46:11.226325
425712.0,0.037,2019-03-03 14:46:11.226325
425711.0,0.1935,2019-03-03 14:46:11.226325
425710.0,1.00000013,2019-03-03 14:46:11.226325
425810.01,0.0485,2019-03-03 14:46:12.322285
425807.001,0.1,2019-03-03 14:46:12.322285
425781.75,0.1,2019-03-03 14:46:12.322285
425779.0,0.015286,2019-03-03 14:46:12.322285
425771.0,0.003,2019-03-03 14:46:12.322285
425761.39,0.1,2019-03-03 14:46:12.322285
425761.31,0.10629,2019-03-03 14:46:12.322285
425759.0,0.50000013,2019-03-03 14:46:12.322285
425757.9,0.037,2019-03-03 14:46:12.322285
425756.92,0.05,2019-03-03 14:46:12.322285
425752.02,0.002,2019-03-03 14:46:12.322285
425731.32,0.004,2019-03-03 14:46:12.322285
425730.0,0.25476278,2019-03-03 14:46:12.322285
425729.0,1.00000013,2019-03-03 14:46:12.322285
425728.0,0.90824656,2019-03-03 14:46:12.322285
425726.0,0.23,2019-03-03 14:46:12.322285
425714.86349,0.06,2019-03-03 14:46:12.322285
425713.0,2.00000013,2019-03-03 14:46:12.322285
425712.0,0.037,2019-03-03 14:46:12.322285
425711.0,0.1935,2019-03-03 14:46:12.322285
425703.65,0.08003,2019-03-03 14:46:12.322285
425829.52,0.02,2019-03-03 14:46:13.455776
